word,JPDB_rank,CEJC_rank,ADNO,ANIME_JDRAMA,AOZORA_BUNKO,BCCWJ,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MIGAKU_NOVELS,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,KOKUGOJITEN,MONODICTS,NAROU,NETFLIX,NIER,NOVELS,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ,YOUTUBE_FREQ_V3
せいしん,23213,2278,1099,3774,657,1194,1619,5016,2521,978,3863,1011,818,1507,2264,14756,1507,1396,2193,2429,661,767,1415,10009,1468,2952,1325,1266,1013,2372,2063,842,1171,1127,3926,85827
ちゅうねん,23234,8967,16181,14059,2854,10002,9265,8411,11748,8758,-1,8983,3017,24719,12074,1835,24719,23165,11613,13610,9628,11169,6604,-1,2533,18287,19208,12786,3651,11823,-1,3291,8243,11807,6338,12015
でんせつ,23269,4442,1674,1145,2512,7607,3488,3601,1596,1464,-1,1508,2952,952,2212,2133,952,884,2141,3257,2181,2189,5259,2866,3152,1872,1902,1991,2290,1667,3130,2727,2238,1004,2252,110173
そうだん,23296,985,2767,991,665,968,208,756,1062,974,-1,1007,1223,2465,923,850,2465,2288,887,1282,1562,1707,2811,-1,1465,1491,4090,2883,1120,1120,1278,1131,867,3062,890,71421
ひょうし,23298,10047,8806,16674,1639,12505,9908,15645,23625,9806,-1,10059,6566,6698,6917,2837,6698,6267,6655,6408,15809,18267,9354,11724,6740,22640,3305,3675,3626,23742,5242,3312,2574,8623,15900,12359
いせい,23331,5687,8761,18234,6676,13713,3397,14963,15630,9530,-1,9776,10011,17481,5752,6918,17481,16380,5545,5589,24306,18582,3856,-1,11145,14872,4870,4863,5923,16185,1035,5421,3511,9711,20888,86954
しょうぶ,23358,3599,3996,19957,2819,5812,3911,1333,951,20376,-1,883,2362,404,550,1725,404,374,528,1252,3053,3109,1398,-1,2633,939,8275,16029,1282,999,287,1821,1014,3035,3093,70342
ふで,23393,4880,7669,9169,859,8650,9052,10099,14521,12770,3066,13102,3384,14405,9046,2135,14405,13508,17252,7623,23728,21490,2247,-1,3630,15034,831,1110,10014,13350,5584,3926,6508,6246,3357,90362
ひょうか,23506,1506,415,3756,3300,880,514,2919,2028,1708,-1,1758,3231,3427,3598,2432,3427,3199,22574,3178,1735,1831,4245,129,3563,3753,2812,1553,1281,2131,-1,1938,2355,752,207,120635
そうち,23522,6059,800,2185,5511,3458,2565,4793,1472,17745,-1,1193,2130,3083,5191,2180,3083,2876,5002,5065,651,725,3255,24815,2833,3782,818,631,2882,1527,446,2521,3477,793,1998,184555
